drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
belinostat,Belinostat,6.690442735329269,16.34581165015697,6.690442735329269,100,0.474457,0.022258,0.474457,0.022258,6.690442735329269,0.4989217617946849,0.0213283842878453,0.0687033692349594,0.221840732280004,0.474457,0.022258,16.34581165015697,unweighted_total_prob,0.221840732280004,111.0,1001.0,8.0,42.0,-0.13384928871917723,-0.4568126634521484,5.543809551745653,True
copper,Copper,3.29325301768258,6.695341236889358,3.29325301768258,100,0.360692,0.117074,0.360692,0.117074,3.29325301768258,0.2782998743348279,0.1727640653299559,0.2147260207072788,0.2233707800073693,0.360692,0.117074,6.695341236889358,unweighted_total_prob,0.2233707800073693,1119.0,172.0,174.0,43.0,-0.24761428871917723,-0.36199666345214837,-4.10666086152196,True
capecitabine,Capecitabine,3.776645704125984,8.733714293688532,3.776645704125984,100,0.409733,0.069412,0.409733,0.069412,3.776645704125984,0.3734039747428518,0.0966405478874454,0.1779174361127139,0.2236012962746617,0.409733,0.069412,8.733714293688532,unweighted_total_prob,0.2236012962746617,773.0,430.0,81.0,44.0,-0.19857328871917723,-0.4096586634521484,-2.068287804722786,True
ciclopirox,Ciclopirox,4.266917943442238,8.668042335659262,4.266917943442238,100,0.404161,0.085702,0.404161,0.085702,4.266917943442238,0.3625983213615278,0.1226581740705367,0.1491038606730123,0.2239233703074283,0.404161,0.085702,8.668042335659262,unweighted_total_prob,0.2239233703074283,779.0,390.0,107.0,45.0,-0.20414528871917725,-0.3933686634521484,-2.133959762752056,True
uridine_triacetate,Uridine_triacetate,3.027543410938231,6.183182122185822,3.027543410938231,100,0.340445,0.13545,0.340445,0.13545,3.027543410938231,0.2390353258761655,0.2021133531593288,0.2399650219192438,0.2244524759980465,0.340445,0.13545,6.183182122185822,unweighted_total_prob,0.2244524759980465,1217.0,112.0,216.0,46.0,-0.26786128871917725,-0.34362066345214837,-4.618819976225496,True
benzoyl_peroxide,Benzoyl_peroxide,1.89643155755475,3.982449406757947,1.89643155755475,100,0.217185,0.229636,0.217185,0.229636,1.89643155755475,0.0,0.3525428276639717,0.4265421424159357,0.2263255595487758,0.217185,0.229636,3.982449406757947,unweighted_total_prob,0.2263255595487758,1540.0,1.0,570.0,47.0,-0.3911212887191773,-0.24943466345214838,-6.819552691653371,True
riociguat,Riociguat,7.87933205841109,17.131395585834976,7.87933205841109,100,0.379233,0.154066,0.379233,0.154066,7.87933205841109,0.3142560156383325,0.2318459577648799,0.0473445347051509,0.2279096963023151,0.379233,0.154066,17.131395585834976,unweighted_total_prob,0.2279096963023151,86.0,249.0,262.0,48.0,-0.22907328871917726,-0.3250046634521484,6.329393487423658,True
acenocoumarol,Acenocoumarol,3.676569888181983,7.629249535500999,3.676569888181983,100,0.403485,0.084092,0.403485,0.084092,3.676569888181983,0.3612873698744899,0.120086757363675,0.1847433444914293,0.2294983197935518,0.403485,0.084092,7.629249535500999,unweighted_total_prob,0.2294983197935518,950.0,383.0,103.0,49.0,-0.20482128871917726,-0.3949786634521484,-3.1727525629103193,True
tirofiban,Tirofiban,2.434864126192404,5.217104449868197,2.434864126192404,100,0.333253,0.129804,0.333253,0.129804,2.434864126192404,0.2250880431915851,0.1930958259997381,0.316108905467106,0.2304953287699505,0.333253,0.129804,5.217104449868197,unweighted_total_prob,0.2304953287699505,1384.0,89.0,203.0,50.0,-0.2750532887191772,-0.3492666634521484,-5.584897648543121,True
canagliflozin,Canagliflozin,3.7526449913158992,8.628140594810242,3.7526449913158992,100,0.320735,0.187989,0.320735,0.187989,3.7526449913158992,0.2008121693532122,0.2860261869244259,0.1795212752239459,0.2306395975558444,0.320735,0.187989,8.628140594810242,unweighted_total_prob,0.2306395975558444,784.0,62.0,376.0,51.0,-0.28757128871917725,-0.29108166345214836,-2.173861503601076,True
streptomycin,Streptomycin,3.011525368131695,6.306632591411466,3.011525368131695,100,0.353577,0.128997,0.353577,0.128997,3.011525368131695,0.2645019160060194,0.1918069233398391,0.2416288671659382,0.230849309171531,0.353577,0.128997,6.306632591411466,unweighted_total_prob,0.230849309171531,1190.0,149.0,200.0,52.0,-0.25472928871917727,-0.3500736634521484,-4.495369506999852,True
nafcillin,Nafcillin,3.909733743965624,8.085098735988137,3.909733743965624,100,0.380495,0.119094,0.380495,0.119094,3.909733743965624,0.3167033836511163,0.1759903148627886,0.1693812084959359,0.2309537211047491,0.380495,0.119094,8.085098735988137,unweighted_total_prob,0.2309537211047491,878.0,252.0,178.0,53.0,-0.22781128871917722,-0.3599766634521484,-2.7169033624231815,True
varenicline,Varenicline,2.410727382986805,6.031959965825076,2.410727382986805,100,0.340574,0.122337,0.340574,0.122337,2.410727382986805,0.2392854926540174,0.1811698828008957,0.3200032666088401,0.2321828035037332,0.340574,0.122337,6.031959965825076,unweighted_total_prob,0.2321828035037332,1240.0,113.0,182.0,54.0,-0.26773228871917726,-0.3567336634521484,-4.770042132586242,True
rivaroxaban,Rivaroxaban,4.1806775355711565,9.066776677966114,4.1806775355711565,100,0.404958,0.096903,0.404958,0.096903,4.1806775355711565,0.364143925407636,0.1405478874454173,0.1536824345427443,0.2326132120497702,0.404958,0.096903,9.066776677966114,unweighted_total_prob,0.2326132120497702,715.0,400.0,122.0,55.0,-0.20334828871917726,-0.38216766345214837,-1.7352254204452038,True
physostigmine,Physostigmine,2.495627676742149,5.519126029685135,2.495627676742149,100,0.353309,0.11317,0.353309,0.11317,2.495627676742149,0.2639821896768388,0.1665287791041248,0.3066384906181653,0.2335320856360185,0.353309,0.11317,5.519126029685135,unweighted_total_prob,0.2335320856360185,1326.0,147.0,164.0,56.0,-0.25499728871917726,-0.3659006634521484,-5.282876068726183,True
moxifloxacin,Moxifloxacin,3.954434428457169,8.907103322446343,3.954434428457169,100,0.372171,0.135129,0.372171,0.135129,3.954434428457169,0.3005608390089517,0.2016006669711905,0.1666430221676613,0.2341932068255892,0.372171,0.135129,8.907103322446343,unweighted_total_prob,0.2341932068255892,740.0,222.0,213.0,57.0,-0.23613528871917727,-0.3439416634521484,-1.8948987759649754,True
tadalafil,Tadalafil,5.665652431081979,12.923223845660685,5.665652431081979,100,0.394274,0.131053,0.394274,0.131053,5.665652431081979,0.3434246862249251,0.1950906703890985,0.0943075336300245,0.2342676493716143,0.394274,0.131053,12.923223845660685,unweighted_total_prob,0.2342676493716143,298.0,328.0,207.0,58.0,-0.21403228871917723,-0.34801766345214835,2.1212217472493666,True
staurosporine,Staurosporine,5.618161411024629,13.367820769548413,5.618161411024629,100,0.420365,0.10044,0.420365,0.10044,5.618161411024629,0.3940223715034829,0.1461970184343426,0.0957205517869623,0.2352318663325227,0.420365,0.10044,13.367820769548413,unweighted_total_prob,0.2352318663325227,249.0,505.0,131.0,59.0,-0.18794128871917726,-0.37863066345214835,2.5658186711370945,True
brexpiprazole,Brexpiprazole,4.062120686145497,9.096351642161604,4.062120686145497,100,0.421161,0.079406,0.421161,0.079406,4.062120686145497,0.3955660362722435,0.1126024973087968,0.1602940493268329,0.2353262232977827,0.421161,0.079406,9.096351642161604,unweighted_total_prob,0.2353262232977827,712.0,512.0,95.0,60.0,-0.18714528871917724,-0.39966466345214835,-1.705650456249714,True
vinorelbine,Vinorelbine,3.3547496667597425,7.93982313945889,3.3547496667597425,100,0.423225,0.061791,0.423225,0.061791,3.3547496667597425,0.399568704717874,0.0844686430905553,0.2094543700766976,0.2355058131387112,0.423225,0.061791,7.93982313945889,unweighted_total_prob,0.2355058131387112,893.0,530.0,71.0,61.0,-0.18508128871917723,-0.4172796634521484,-2.862178958952428,True
indacaterol,Indacaterol,2.6222047988791,6.058963397517796,2.6222047988791,100,0.282455,0.208283,0.282455,0.208283,2.6222047988791,0.1265766324836713,0.3184388146567558,0.2883200204568807,0.235670182947547,0.282455,0.208283,6.058963397517796,unweighted_total_prob,0.235670182947547,1236.0,14.0,472.0,62.0,-0.32585128871917723,-0.2707876634521484,-4.743038700893522,True
midostaurin,Midostaurin,9.671063824556766,23.194595932960507,9.671063824556766,100,0.501315,0.026027,0.501315,0.026027,9.671063824556766,0.5510068727989202,0.0273480548270762,0.0250760981727098,0.2363571906849405,0.501315,0.026027,23.194595932960507,unweighted_total_prob,0.2363571906849405,20.0,1271.0,16.0,63.0,-0.10699128871917729,-0.45304366345214836,12.392593834549189,True
arsenic_trioxide,Arsenic_trioxide,4.716625395789741,11.09412087127566,4.716625395789741,100,0.399624,0.117632,0.399624,0.117632,4.716625395789741,0.3537998200350621,0.17365527683457,0.1279414667656716,0.2365703321009872,0.399624,0.117632,11.09412087127566,unweighted_total_prob,0.2365703321009872,473.0,358.0,175.0,64.0,-0.20868228871917727,-0.36143866345214837,0.29211877286434174,True
entrectinib,Entrectinib,8.354650035500526,21.332784533500668,8.354650035500526,100,0.457932,0.07535,0.457932,0.07535,8.354650035500526,0.4668752036241215,0.1061244437913862,0.0405062534408602,0.2373011096543752,0.457932,0.07535,21.332784533500668,unweighted_total_prob,0.2373011096543752,31.0,833.0,91.0,65.0,-0.15037428871917724,-0.4037206634521484,10.53078243508935,True
naftifine,Naftifine,3.6594082803465406,7.664415489882226,3.6594082803465406,100,0.397589,0.103614,0.397589,0.103614,3.6594082803465406,0.3498533906325147,0.1512663827992985,0.1859513938153054,0.2376381881357864,0.397589,0.103614,7.664415489882226,unweighted_total_prob,0.2376381881357864,944.0,348.0,136.0,66.0,-0.21071728871917722,-0.3754566634521484,-3.1375866085290918,True
galantamine,Galantamine,2.0729268794646467,4.759696044027801,2.0729268794646467,100,0.325946,0.128674,0.325946,0.128674,2.0729268794646467,0.2109177436120204,0.1912910428452326,0.3840222235369105,0.2376879592902834,0.325946,0.128674,4.759696044027801,unweighted_total_prob,0.2376879592902834,1461.0,73.0,198.0,67.0,-0.28236028871917723,-0.35039666345214837,-6.042306054383517,True
olmutinib,Olmutinib,6.16429342702031,15.182410970330237,6.16429342702031,100,0.419826,0.109615,0.419826,0.109615,6.16429342702031,0.3929771010130785,0.1608508993569861,0.0807857141123845,0.2376883429705027,0.419826,0.109615,15.182410970330237,unweighted_total_prob,0.2376883429705027,153.0,501.0,149.0,68.0,-0.18848028871917727,-0.36945566345214836,4.3804088719189185,True
