drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_ae_extreme,flag_safety_extreme,flag_efficacy_extreme,n_extremes
vemurafenib,Vemurafenib,8.294540884904562,20.09075538069009,8.294540884904562,100,0.561303,0.050079,0.561303,0.050079,8.294540884904562,0.6673402423320974,0.0657627844130621,0.0413277398101872,0.3015067586601013,0.561303,0.050079,20.09075538069009,unweighted_total_prob,0.3015067586601013,43.0,1535.0,54.0,238.0,-0.04700328871917725,-0.4289916634521484,9.288753282278773,True,False,True,2
avatrombopag,Avatrombopag,8.203131542541085,20.0632953941822,8.203131542541085,100,0.535549,0.174146,0.535549,0.174146,8.203131542541085,0.617396093519711,0.2639167947051176,0.0426000673919926,0.36104516876833,0.535549,0.174146,20.0632953941822,unweighted_total_prob,0.36104516876833,44.0,1461.0,324.0,596.0,-0.0727572887191772,-0.3049246634521484,9.261293295770884,True,False,True,2
dabrafenib,Dabrafenib,8.56438750196248,20.02354811131954,8.56438750196248,100,0.637208,0.028238,0.637208,0.028238,8.56438750196248,0.8145410894084429,0.0308793606276173,0.0377301743728707,0.3457142148889983,0.637208,0.028238,20.02354811131954,unweighted_total_prob,0.3457142148889983,45.0,1613.0,19.0,493.0,0.02890171128082275,-0.4508326634521484,9.22154601290822,True,False,True,2
ivosidenib,Ivosidenib,8.976274174079297,19.832237929105755,8.976274174079297,100,0.598888,0.084276,0.598888,0.084276,8.976274174079297,0.7402279814449944,0.1203806335587449,0.0326559962749851,0.3507746452564927,0.598888,0.084276,19.832237929105755,unweighted_total_prob,0.3507746452564927,46.0,1587.0,104.0,522.0,-0.00941828871917727,-0.39479466345214836,9.030235830694437,True,False,True,2
tafamidis,Tafamidis,7.884432514198123,19.536441810429093,7.884432514198123,100,0.53366,0.137715,0.53366,0.137715,7.884432514198123,0.6137327986099261,0.20573090523451,0.0472667794896726,0.337238837435709,0.53366,0.137715,19.536441810429093,unweighted_total_prob,0.337238837435709,47.0,1452.0,222.0,436.0,-0.07464628871917722,-0.3413556634521484,8.734439712017775,True,False,True,2
duvelisib,Duvelisib,8.080784175544975,19.397004105150696,8.080784175544975,100,0.508502,0.097784,0.508502,0.097784,8.080784175544975,0.5649444590967623,0.1419549794446379,0.0443480690070625,0.2916293892179725,0.508502,0.097784,19.397004105150696,unweighted_total_prob,0.2916293892179725,49.0,1308.0,125.0,202.0,-0.09980428871917724,-0.3812866634521484,8.595002006739378,True,False,True,2
osimertinib,Osimertinib,7.57883329503238,19.0924669355154,7.57883329503238,100,0.443101,0.03686,0.443101,0.03686,7.57883329503238,0.4381137812805437,0.044650015811817,0.0521102853681029,0.2035275759105649,0.443101,0.03686,19.0924669355154,unweighted_total_prob,0.2035275759105649,52.0,684.0,35.0,28.0,-0.16520528871917722,-0.4422106634521484,8.290464837104082,True,False,True,2
tivozanib,Tivozanib,7.703228710219263,19.051814936101437,7.703228710219263,100,0.418552,0.058656,0.418552,0.058656,7.703228710219263,0.3905064616721225,0.0794615677017284,0.0500923390317127,0.1980056795558829,0.418552,0.058656,19.051814936101437,unweighted_total_prob,0.1980056795558829,53.0,488.0,62.0,22.0,-0.18975428871917727,-0.4204146634521484,8.249812837690119,True,False,True,2
crizotinib,Crizotinib,7.301546151749789,18.98448324203491,7.301546151749789,100,0.531643,0.034505,0.531643,0.034505,7.301546151749789,0.609821276199637,0.040888719945569,0.0568559050443064,0.2716551794669437,0.531643,0.034505,18.98448324203491,unweighted_total_prob,0.2716551794669437,54.0,1441.0,33.0,141.0,-0.07666328871917727,-0.4445656634521484,8.18248114362359,True,False,True,2
selinexor,Selinexor,7.970939663238822,18.87728941440582,7.970939663238822,100,0.55474,0.080273,0.55474,0.080273,7.970939663238822,0.6546127650992135,0.1139872291627403,0.0459631552622557,0.3166326287572327,0.55474,0.080273,18.87728941440582,unweighted_total_prob,0.3166326287572327,55.0,1523.0,98.0,324.0,-0.053566288719177235,-0.3987976634521484,8.075287315994501,True,False,True,2
