drug_key,drug,ae_score_x,total_prob,total_weighted_prob,n_ae,safety_drug,P_drug_gt_placebo,safety_score,efficacy_score,ae_score_y,safety_norm,efficacy_norm,ae_inverse_norm,composite_score,safety_used,efficacy_used,ae_used,ae_units,composite_used,avoid_rank_ae,avoid_rank_safety,avoid_rank_efficacy,avoid_rank_composite,delta_safety_vs_real,delta_efficacy_vs_real,delta_ae_vs_real,flag_primary_composite_worst
allopurinol,Allopurinol,2.0727681424003075,4.799504945054646,2.0727681424003075,100.0,0.217245,0.519071,0.217245,0.519071,2.0727681424003075,0.2204749366918781,0.3125510799766477,0.1659496133624838,0.2464003293399071,0.217245,0.519071,4.799504945054646,unweighted_total_prob,0.2464003293399071,483.0,310.0,230.0,42.0,-0.33134285899999993,0.0003311509999999185,-0.8217122169453548,True
trimethobenzamide,Trimethobenzamide,1.826598542276768,4.810459287837143,1.826598542276768,100.0,0.15615,0.520585,0.15615,0.520585,1.826598542276768,0.1180164014154187,0.400934033858727,0.1999168011209768,0.2475635343338536,0.15615,0.520585,4.810459287837143,unweighted_total_prob,0.2475635343338536,479.0,55.0,591.0,43.0,-0.39243785899999994,0.0018451509999999338,-0.8107578741628574,True
uridine_triacetate,Uridine_triacetate,,,,,0.164096,0.51922,0.164096,0.51922,1.2360662363236747,0.1313421321840044,0.3212492702860503,0.3365567888411658,0.248347918756255,0.164096,0.51922,,unweighted_total_prob,0.248347918756255,,69.0,268.0,44.0,-0.38449185899999994,0.00048015099999998423,,True
acyclovir,Acyclovir,1.563203152175991,3.543961425311859,1.563203152175991,100.0,0.217409,0.518474,0.217409,0.518474,1.563203152175991,0.220749970651864,0.2776999416228848,0.2481081013896744,0.2490015851878344,0.217409,0.518474,3.543961425311859,unweighted_total_prob,0.2490015851878344,986.0,312.0,145.0,45.0,-0.331178859,-0.0002658490000000402,-2.0772557366881417,True
ethambutol,Ethambutol,1.025051653594708,2.5330031150951937,1.025051653594708,100.0,0.123234,0.519702,0.123234,0.519702,1.025051653594708,0.0628150732026363,0.3493870402802116,0.4235617421667709,0.2495931938264934,0.123234,0.519702,2.5330031150951937,unweighted_total_prob,0.2495931938264934,1432.0,8.0,367.0,46.0,-0.42535385899999995,0.0009621509999999667,-3.088214046904807,True
bufexamac,Bufexamac,2.1248738259077053,5.479765383526678,2.1248738259077053,100.0,0.287215,0.517259,0.287215,0.517259,2.1248738259077053,0.337817169498063,0.2067717454757764,0.1597691614925694,0.2497893982880497,0.287215,0.517259,5.479765383526678,unweighted_total_prob,0.2497893982880497,312.0,856.0,50.0,47.0,-0.26137285899999996,-0.0014808490000000063,-0.14145177847332224,True
chlorphentermine,Chlorphentermine,1.1674975170055386,2.788548766635353,1.1674975170055386,100.0,0.305716,0.515012,0.305716,0.515012,1.1674975170055386,0.3688440188498885,0.07559836544075,0.3613793924468704,0.2500528322056294,0.305716,0.515012,2.788548766635353,unweighted_total_prob,0.2500528322056294,1330.0,1008.0,3.0,48.0,-0.24287185899999997,-0.0037278490000000053,-2.8326683953646477,True
dapagliflozin,Dapagliflozin,1.4884574793511984,3.84805510193109,1.4884574793511984,100.0,0.202734,0.518802,0.202734,0.518802,1.4884574793511984,0.1961394623421489,0.2968476357267958,0.2648904680036661,0.2501729328283111,0.202734,0.518802,3.84805510193109,unweighted_total_prob,0.2501729328283111,850.0,227.0,189.0,49.0,-0.345853859,6.215099999995477e-05,-1.7731620600689109,True
diethylpropion,Diethylpropion,2.084279289399272,5.341303754597897,2.084279289399272,100.0,0.2384,0.518684,0.2384,0.518684,2.084279289399272,0.2559526404937195,0.2899591360186842,0.1645576398693528,0.2512762385788321,0.2384,0.518684,5.341303754597897,unweighted_total_prob,0.2512762385788321,342.0,443.0,173.0,50.0,-0.31018785899999995,-5.584899999999671e-05,-0.2799134074021037,True
olmutinib,Olmutinib,2.687788748275487,7.11368295922875,2.687788748275487,100.0,0.248079,0.518913,0.248079,0.518913,2.687788748275487,0.2721846752419125,0.3033274956217154,0.1082779053515664,0.2518604494157644,0.248079,0.518913,7.11368295922875,unweighted_total_prob,0.2518604494157644,118.0,516.0,203.0,51.0,-0.30050885899999996,0.000173150999999927,1.492465797228749,True
